MARKET,TYPE,BRAND,MODEL,Sage Code,DESCRIPTION,SAMSUNG CODE,Color / SIM
WHOLE SALE,MOBILE,SAM Lat,A376 (Galaxy A37 5G) 8+256GB DS,A376-SM-GR256GT,SM-A376BZAKGTO (Galaxy A37 5G) GRAY 8+256GB DS LATIN GTO,SM-A376BZAKGTO,GRAY
WHOLE SALE,MOBILE,SAM Lat,A376 (Galaxy A37 5G) 8+256GB DS,A376-SM-VL256GT,SM-A376BLVKGTO (Galaxy A37 5G) LIGHT VIOLET 8+256GB DS LATIN GTO,SM-A376BLVKGTO,LIGHT VIOLET
WHOLE SALE,MOBILE,SAM Lat,A376 (Galaxy A37 5G) 8+256GB DS,A376-SM-WT256GT,SM-A376BZWKGTO (Galaxy A37 5G) WHITE 8+256GB DS LATIN GTO,SM-A376BZWKGTO,WHITE
WHOLE SALE,MOBILE,SAM Lat,A576 (Galaxy A57 5G) 8+128GB DS,A576-SM-DB128GT,SM-A576BDBEGTO (Galaxy A57 5G) DARK BLUE 8+128GB DS LATIN GTO,SM-A576BDBEGTO,DARK BLUE
WHOLE SALE,MOBILE,SAM Lat,A576 (Galaxy A57 5G) 8+128GB DS,A576-SM-GR128GT,SM-A576BZAEGTO (Galaxy A57 5G) GRAY 8+128GB DS LATIN GTO,SM-A576BZAEGTO,GRAY
WHOLE SALE,MOBILE,SAM Lat,A576 (Galaxy A57 5G) 8+128GB DS,A576-SM-LB128GT,SM-A576BLBEGTO (Galaxy A57 5G) LIGHT BLUE 8+128GB DS LATIN GTO,SM-A576BLBEGTO,LIGHT BLUE
WHOLE SALE,MOBILE,SAM Lat,A576 (Galaxy A57 5G) 8+128GB DS,A576-SM-VL128GT,SM-A576BZVEGTO (Galaxy A57 5G) VIOLET 8+128GB DS LATIN GTO,SM-A576BZVEGTO,VIOLET
WHOLE SALE,MOBILE,SAM Lat,A576 (Galaxy A57 5G) 8+256GB DS,A576-SM-DB256GT,SM-A576BDBFGTO (Galaxy A57 5G) DARK BLUE 8+256GB DS LATIN GTO,SM-A576BDBFGTO,DARK BLUE
WHOLE SALE,MOBILE,SAM Lat,A576 (Galaxy A57 5G) 8+256GB DS,A576-SM-GR256GT,SM-A576BZAFGTO(Galaxy A57 5G) GRAY 8+256GB DS LATIN GTO,SM-A576BZAFGTO,GRAY
WHOLE SALE,MOBILE,SAM Lat,A576 (Galaxy A57 5G) 8+256GB DS,A576-SM-LB256GT,SM-A576BLBFGTO (Galaxy A57 5G) LIGHT BLUE 8+256GB DS LATIN GTO,SM-A576BLBFGTO,LIGHT BLUE
WHOLE SALE,MOBILE,SAM Lat,A576 (Galaxy A57 5G) 8+256GB DS,A576-SM-VL256GT,SM-A576BZVFGTO (Galaxy A57 5G) VIOLET 8+256GB DS LATIN GTO,SM-A576BZVFGTO,VIOLET
WHOLE SALE,MOBILE,SAM Lat,A576 (Galaxy A57 5G) 12+512GB DS,A576-SM-DB512GT,SM-A576BDBKGTO (Galaxy A57 5G) DARK BLUE 12+512GB DS LATIN GTO,SM-A576BDBKGTO,DARK BLUE
WHOLE SALE,MOBILE,SAM Lat,A576 (Galaxy A57 5G) 12+512GB DS,A576-SM-GR512GT,SM-A576BZAKGTO (Galaxy A57 5G) GRAY 12+512GB DS LATIN GTO,SM-A576BZAKGTO,GRAY
WHOLE SALE,MOBILE,SAM Lat,A576 (Galaxy A57 5G) 12+512GB DS,A576-SM-LB512GT,SM-A576BLBKGTO (Galaxy A57 5G) LIGHT BLUE 12+512GB DS LATIN GTO,SM-A576BLBKGTO,LIGHT BLUE
WHOLE SALE,MOBILE,SAM Lat,A576 (Galaxy A57 5G) 12+512GB DS,A576-SM-VL512GT,SM-A576BZVKGTO (Galaxy A57 5G) VIOLET 12+512GB DS LATIN GTO,SM-A576BZVKGTO,VIOLET
WHOLE SALE,MOBILE,SAM Lat,A075 (Galaxy A07) 4+128GB,SM-A075MLVGGTO,SM-A075MLVGGTO (Galaxy A07) LIGHT VIOLET 4+128GB DS LATIN GTO,SM-A075MLVGGTO,Light Violet
WHOLE SALE,MOBILE,SAM Lat,A075 (Galaxy A07) 4+128GB,SM-A075MZGGGTO,SM-A075MZGGGTO (Galaxy A07) GREEN 4+128GB DS LATIN GTO,SM-A075MZGGGTO,Green
WHOLE SALE,MOBILE,SAM Lat,A065 (Galaxy A06) 4+64GB,SM-A065MLGDGTO,SM-A065MLGDGTO (Galaxy A06) GREEN 4+64GB DS LATIN GTO,SM-A065MLGDGTO,GREEN
WHOLE SALE,MOBILE,SAM Lat,A176 (Galaxy A17 5G) 4+128GB,A176-S-BK4128GT,SM-A176BZKOGTO (Galaxy A17 5G) Black 4+128GB DS Latin GTO,SM-A176BZKOGTO,BLACK
WHOLE SALE,MOBILE,SAM Lat,A176 (Galaxy A17 5G) 4+128GB,A176-S-BL4128GT,SM-A176BZBOGTO (Galaxy A17 5G) Blue 4+128GB DS Latin GTO,SM-A176BZBOGTO,Blue
WHOLE SALE,TABLET,SAM Lat,TAB X400 (Galaxy Tab S10 Lite ) WiFI 4+64GB,X400-SM-GR128WF,SM-X400NZADL15 (Galaxy Tab S10 Lite) WIFI 6+128GB GRAY LATIN,SM-X400NZADL15,Gray
WHOLE SALE,TABLET,SAM Lat,TAB X520 (Galaxy Tab S10 FE) WIFI 8+128GB,X520-SM-GR128WF,SM-X520NZAAL15 (Galaxy Tab S10 FE) WIFI 8+128GB GRAY LATIN,SM-X520NZAAL15,Gray
WHOLE SALE,MOBILE,SAM Lat,A075 (Galaxy A07) 4+64GB,SM-A075MLVDGTO,SM-A075MLVDGTO (Galaxy A07) LIGHT VIOLET 4+64GB DS LATIN GTO,SM-A075MLVDGTO,Light Violet
WHOLE SALE,MOBILE,SAM Lat,A075 (Galaxy A07) 4+128GB,SM-A075MZKGGTO,SM-A075MZKGGTO (Galaxy A07) BLACK 4+128GB DS LATIN GTO,SM-A075MZKGGTO,BLACK
WHOLE SALE,MOBILE,SAM Lat,A075 (Galaxy A07) 4+64GB,SM-A075MZGDGTO,SM-A075MZGDGTO (Galaxy A07) GREEN 4+64GB DS LATIN GTO,SM-A075MZGDGTO,GREEN
ACCESSORY,ACCESSORY,SAM Lat,L320 Galaxy Watch 8 (Fresh8-Small) 40mm,L320-S-WAT8SL40,SM-L320NZSALTA Galaxy Watch 8 40mm (Fresh8-Small) Silver LATIN,SM-L320NZSALTA,
